"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"57","11.5","15","125.6","131","11","9","1","1","1","0","4.875197","8.1875","0","2.442347"
"58","65","15","125.6","104","16","15","1","0","1","0","4.644391","6.5","0","4.174387"
"59","27.5","15","125.6","122","12","12","1","0","1","0","4.804021","7.625","0","3.314186"
"60","27.5","15","125.6","97","12","12","2","1","1","0","4.574711","6.0625","0","3.314186"
"61","17.5","15","125.6","122","14","16","1","0","0","0","4.804021","7.625","0","2.862201"
"62","65","15","125.6","118","16","13","3","1","1","0","4.770685","7.375","0","4.174387"
"63","3.5","15","125.6","140","11","12","2","1","0","0","4.941642","8.75","0","1.252763"
"64",".5","15","125.6","131","12","12","2","0","0","0","4.875197","8.1875","0","-.6931472"
"65",".5","15","125.6","104","","12","2","0","0","10","4.644391","6.5",".5","-.6931472"
"66","3.5","15","125.6","114","","11","3","0","1","0","4.736198","7.125","0","1.252763"
"67","65","15","125.6","141","12","13","1","0","1","0","4.94876","8.8125","0","4.174387"
"68","22.5","15","125.6","107","11","12","2","0","1","0","4.672829","6.6875","0","3.113515"
"69","22.5","21","127.7","152","12","10","1","1","1","0","5.02388","9.5","0","3.113515"
"70","7.5","21","127.7","119","12","10","2","1","0","20","4.779123","7.4375","1","2.014903"
"71","27.5","21","127.7","135","12","12","1","0","1","0","4.905275","8.4375","0","3.314186"
"72","18.5","21","127.7","138","12","10","1","0","1","0","4.927254","8.625","0","2.917771"
"73","37.5","21","127.7","108","16","16","1","1","1","0","4.682131","6.75","0","3.624341"
"74","22.5","21","127.7","97","7","12","1","0","1","0","4.574711","6.0625","0","3.113515"
"75","27.5","21","127.7","131","13","12","3","1","1","0","4.875197","8.1875","0","3.314186"
"76","18.5","21","127.7","115","3","12","1","0","0","40","4.744932","7.1875","2","2.917771"
"77","22.5","21","127.7","123","16","14","3","1","0","0","4.812184","7.6875","0","3.113515"
"78",".5","21","127.7","115","","10","5","0","0","0","4.744932","7.1875","0","-.6931472"
"79","32.5","21","127.7","132","18","16","1","0","1","0","4.882802","8.25","0","3.48124"
"80","27.5","21","127.7","133","14","13","1","1","0","0","4.890349","8.3125","0","3.314186"
"81","32.5","21","127.7","125","13","12","1","0","1","0","4.828314","7.8125","0","3.48124"
"82","15.5","21","127.7","117","12","12","1","1","1","0","4.762174","7.3125","0","2.74084"
"83","16.5","21","127.7","116","16","13","1","1","1","0","4.75359","7.25","0","2.80336"
"84","19.5","21","127.7","152","18","18","2","1","1","0","5.02388","9.5","0","2.970414"
"85","15.5","21","127.7","101","10","10","1","0","0","0","4.61512","6.3125","0","2.74084"
"86","14.5","21","127.7","107","17","12","1","1","1","0","4.672829","6.6875","0","2.674149"
"87","32.5","21","127.7","136","16","14","4","0","1","0","4.912655","8.5","0","3.48124"
"88","14.5","21","127.7","120","7","9","2","0","1","0","4.787492","7.5","0","2.674149"
"89","8.5","21","127.7","127","17","18","1","1","1","0","4.844187","7.9375","0","2.140066"
"90","8.5","21","127.7","123","","8","3","1","1","0","4.812184","7.6875","0","2.140066"
"91","7.5","21","127.7","135","14","12","3","1","1","0","4.905275","8.4375","0","2.014903"
"92","32.5","21","127.7","86","14","15","1","1","0","0","4.454347","5.375","0","3.48124"
"93","65","21","127.7","97","16","16","1","1","1","0","4.574711","6.0625","0","4.174387"
"94","7.5","21","127.7","93","14","12","1","1","0","10","4.532599","5.8125",".5","2.014903"
"95","27.5","21","127.7","96","18","12","1","0","0","0","4.564348","6","0","3.314186"
"96","13.5","21","127.7","109","8","8","2","0","1","10","4.691348","6.8125",".5","2.60269"
"97","27.5","21","127.7","117","12","11","1","1","0","0","4.762174","7.3125","0","3.314186"
"98","18.5","21","127.7","115","9","12","1","0","1","0","4.744932","7.1875","0","2.917771"
"99","22.5","10","126.4","121","11","12","1","1","1","20","4.795791","7.5625","1","3.113515"
"100","65","10","126.4","114","18","17","2","0","1","0","4.736198","7.125","0","4.174387"
"101","22.5","10","126.4","118","12","6","1","0","1","0","4.770685","7.375","0","3.113515"
"102","42.5","10","126.4","134","16","16","1","0","1","0","4.89784","8.375","0","3.749504"
"103","37.5","10","126.4","156","18","15","1","1","1","0","5.049856","9.75","0","3.624341"
"104","11.5","10","126.4","139","12","12","2","0","1","3","4.934474","8.6875",".15","2.442347"
"105","65","10","126.4","136","18","18","2","1","1","0","4.912655","8.5","0","4.174387"
"106","7.5","10","126.4","115","8","11","1","1","0","0","4.744932","7.1875","0","2.014903"
"107","22.5","10","126.4","23","12","12","1","1","0","0","3.135494","1.4375","0","3.113515"
"108","65","10","126.4","135","13","12","1","0","1","0","4.905275","8.4375","0","4.174387"
"109","27.5","10","126.4","106","12","13","1","1","0","10","4.663439","6.625",".5","3.314186"
"110","7.5","10","126.4","116","","10","2","1","0","0","4.75359","7.25","0","2.014903"
"111","65","10","126.4","147","13","16","1","1","1","0","4.990433","9.1875","0","4.174387"
"112","8.5","10","126.4","115","","10","3","0","1","0","4.744932","7.1875","0","2.140066"
"113","12.5","10","126.4","85","12","12","3","0","1","0","4.442651","5.3125","0","2.525729"
"114","37.5","10","126.4","102","12","17","1","1","1","0","4.624973","6.375","0","3.624341"
"115","14.5","10","126.4","122","11","12","1","0","1","0","4.804021","7.625","0","2.674149"
"116","65","10","126.4","109","17","16","1","1","0","0","4.691348","6.8125","0","4.174387"
"117","37.5","10","126.4","97","11","11","2","0","1","20","4.574711","6.0625","1","3.624341"
"118","27.5","10","126.4","136","13","17","2","0","1","0","4.912655","8.5","0","3.314186"
"119","65","10","126.4","131","18","12","1","0","1","0","4.875197","8.1875","0","4.174387"
"120","32.5","10","126.4","116","14","12","1","1","1","0","4.75359","7.25","0","3.48124"
"121","6.5","10","126.4","86","","12","1","1","1","0","4.454347","5.375","0","1.871802"
"122","65","10","126.4","155","13","16","2","1","1","0","5.043425","9.6875","0","4.174387"
"123","6.5","10","126.4","122","","10","1","1","1","40","4.804021","7.625","2","1.871802"
"124","65","10","126.4","105","18","16","1","0","1","0","4.65396","6.5625","0","4.174387"
"125","65","10","126.4","131","16","16","1","1","1","0","4.875197","8.1875","0","4.174387"
"126","7.5","10","126.4","126","","11","3","0","0","0","4.836282","7.875","0","2.014903"
"127","17.5","10","126.4","127","8","10","1","1","1","0","4.844187","7.9375","0","2.862201"
"128","27.5","10","126.4","125","18","18","1","1","1","0","4.828314","7.8125","0","3.314186"
"129","37.5","10","126.4","98","17","16","1","1","0","0","4.584968","6.125","0","3.624341"
"130","22.5","10","126.4","144","12","13","4","0","0","0","4.969813","9","0","3.113515"
"131","22.5","10","126.4","91","12","13","1","0","0","0","4.510859","5.6875","0","3.113515"
"132","65","10","126.4","106","13","16","1","0","1","0","4.663439","6.625","0","4.174387"
"133","42.5","10","126.4","128","12","12","2","1","1","0","4.85203","8","0","3.749504"
"134","2.5","10","126.4","144","11","12","1","1","1","0","4.969813","9","0",".9162908"
"135","10.5","10","126.4","91","","10","4","0","0","0","4.510859","5.6875","0","2.351375"
"136","42.5","10","126.4","122","16","12","2","1","1","0","4.804021","7.625","0","3.749504"
"137","14.5","10","126.4","139","10","12","1","0","1","0","4.934474","8.6875","0","2.674149"
"138","42.5","10","126.4","126","10","12","1","0","1","0","4.836282","7.875","0","3.749504"
"139","32.5","10","126.4","107","18","18","1","1","1","0","4.672829","6.6875","0","3.48124"
"140","3.5","10","126.4","79","","12","3","1","1","0","4.369448","4.9375","0","1.252763"
"141","42.5","10","126.4","102","15","12","1","1","1","0","4.624973","6.375","0","3.749504"
"142","15.5","10","126.4","126","12","16","1","1","1","0","4.836282","7.875","0","2.74084"
"143","32.5","10","126.4","120","12","12","1","0","0","0","4.787492","7.5","0","3.48124"
"144","19.5","10","126.4","101","12","12","1","1","0","0","4.61512","6.3125","0","2.970414"
"145","42.5","10","126.4","131","12","12","5","1","1","0","4.875197","8.1875","0","3.749504"
"146","65","10","126.4","128","12","14","2","0","1","0","4.85203","8","0","4.174387"
"147","13.5","10","126.4","142","13","12","1","1","0","0","4.955827","8.875","0","2.60269"
"148","27.5","10","126.4","144","12","12","1","1","1","0","4.969813","9","0","3.314186"
"149","42.5","10","126.4","58","16","15","3","0","1","0","4.060443","3.625","0","3.749504"
"150","5.5","10","126.4","88","","12","1","1","0","0","4.477337","5.5","0","1.704748"
"151","5.5","10","126.4","123","","12","1","0","0","0","4.812184","7.6875","0","1.704748"
"152","65","10","126.4","146","16","13","2","0","1","0","4.983607","9.125","0","4.174387"
"153","22.5","10","126.4","135","9","13","1","1","0","0","4.905275","8.4375","0","3.113515"
"154","18.5","10","126.4","125","12","12","1","0","1","0","4.828314","7.8125","0","2.917771"
"155","27.5","10","126.4","125","","12","1","0","0","0","4.828314","7.8125","0","3.314186"
"156","65","10","126.4","99","18","16","1","1","0","0","4.59512","6.1875","0","4.174387"
"157","32.5","10","126.4","120","12","12","1","1","1","4","4.787492","7.5",".2","3.48124"
"158","22.5","10","126.4","114","5","7","2","0","0","0","4.736198","7.125","0","3.113515"
"159","37.5","10","126.4","88","12","12","1","0","1","0","4.477337","5.5","0","3.624341"
"160","65","10","126.4","106","18","15","1","1","1","0","4.663439","6.625","0","4.174387"
"161","1.5","10","126.4","123","","13","2","0","0","0","4.812184","7.6875","0",".4054651"
"162","27.5","10","126.4","135","11","13","2","1","1","0","4.905275","8.4375","0","3.314186"
"163","47.5","10","126.4","116","16","12","2","1","1","0","4.75359","7.25","0","3.86073"
"164","32.5","10","126.4","128","14","13","3","1","1","0","4.85203","8","0","3.48124"
"165","65","10","126.4","111","16","15","1","0","0","0","4.70953","6.9375","0","4.174387"
"166","8.5","10","126.4","123","","14","1","0","1","0","4.812184","7.6875","0","2.140066"
"167","65","10","126.4","115","15","17","3","1","1","0","4.744932","7.1875","0","4.174387"
"168","27.5","10","126.4","167","12","12","2","1","1","0","5.117994","10.4375","0","3.314186"
"169","37.5","10","126.4","82","","12","2","0","0","0","4.406719","5.125","0","3.624341"
"170","37.5","10","126.4","121","18","16","2","1","1","0","4.795791","7.5625","0","3.624341"
"171","22.5","10","126.4","114","11","6","1","1","1","0","4.736198","7.125","0","3.113515"
"172","37.5","10","126.4","116","13","15","1","1","1","0","4.75359","7.25","0","3.624341"
"173","8.5","10","126.4","141","","12","2","1","1","5","4.94876","8.8125",".25","2.140066"
"174","42.5","10","126.4","141","13","12","2","1","1","0","4.94876","8.8125","0","3.749504"
"175","65","10","126.4","120","16","16","2","0","1","0","4.787492","7.5","0","4.174387"
"176","12.5","10","126.4","110","12","13","1","0","1","0","4.70048","6.875","0","2.525729"
"177","27.5","10","126.4","120","13","14","1","0","1","0","4.787492","7.5","0","3.314186"
"178","27.5","10","126.4","125","14","18","2","1","1","0","4.828314","7.8125","0","3.314186"
"179","65","10","126.4","82","15","11","2","0","0","0","4.406719","5.125","0","4.174387"
"180","22.5","10","126.4","141","12","12","1","0","1","0","4.94876","8.8125","0","3.113515"
"181","18.5","10","126.4","144","7","8","2","1","1","0","4.969813","9","0","2.917771"
"182","13.5","10","126.4","102","12","12","2","0","1","0","4.624973","6.375","0","2.60269"
"183","18.5","10","126.4","121","12","10","1","1","1","0","4.795791","7.5625","0","2.917771"
"184","27.5","10","126.4","80","14","12","1","0","0","0","4.382027","5","0","3.314186"
"185","22.5","10","126.4","106","12","12","2","0","1","0","4.663439","6.625","0","3.113515"
"186","65","10","126.4","116","15","12","1","0","1","0","4.75359","7.25","0","4.174387"
"187","32.5","10","126.4","116","12","12","1","0","1","10","4.75359","7.25",".5","3.48124"
"188","22.5","10","126.4","123","13","13","2","1","1","0","4.812184","7.6875","0","3.113515"
"189","37.5","10","126.4","132","12","15","1","0","1","0","4.882802","8.25","0","3.624341"
"190","47.5","10","126.4","118","11","10","2","1","1","20","4.770685","7.375","1","3.86073"
"191","65","10","126.4","131","18","17","2","1","1","0","4.875197","8.1875","0","4.174387"
"192","32.5","10","126.4","152","18","14","1","1","0","0","5.02388","9.5","0","3.48124"
"193","10.5","10","126.4","120","4","12","3","1","1","0","4.787492","7.5","0","2.351375"
"194","22.5","10","126.4","145","12","12","1","0","1","0","4.976734","9.0625","0","3.113515"
"195","37.5","10","126.4","124","14","16","1","1","0","0","4.820282","7.75","0","3.624341"
"196","65","10","126.4","142","18","9","1","1","1","0","4.955827","8.875","0","4.174387"
"197","65","10","126.4","117","16","18","2","0","1","0","4.762174","7.3125","0","4.174387"
"198","10.5","10","126.4","100","12","7","1","0","1","0","4.60517","6.25","0","2.351375"
"199","32.5","10","126.4","120","16","13","1","1","1","0","4.787492","7.5","0","3.48124"
"200","32.5","10","126.4","145","16","13","1","1","1","0","4.976734","9.0625","0","3.48124"
"201","65","10","126.4","123","18","16","1","1","1","0","4.812184","7.6875","0","4.174387"
"202","47.5","10","126.4","166","17","14","2","1","1","0","5.111988","10.375","0","3.86073"
"203","32.5","10","126.4","103","13","14","2","0","1","8","4.634729","6.4375",".4","3.48124"
"204","6.5","10","126.4","133","","10","2","1","1","0","4.890349","8.3125","0","1.871802"
"205","12.5","10","126.4","112","5","7","2","0","0","0","4.718499","7","0","2.525729"
"206","47.5","10","126.4","119","14","11","1","1","1","0","4.779123","7.4375","0","3.86073"
"207","19.5","10","126.4","123","12","12","1","1","1","0","4.812184","7.6875","0","2.970414"
"208","7.5","10","126.4","107","7","","1","0","1","0","4.672829","6.6875","0","2.014903"
"209","8.5","10","126.4","145","8","9","3","1","1","0","4.976734","9.0625","0","2.140066"
"210","19.5","10","126.4","133","","14","1","0","1","0","4.890349","8.3125","0","2.970414"
"211","65","10","126.4","146","16","13","4","1","1","0","4.983607","9.125","0","4.174387"
"212","32.5","10","126.4","134","12","14","1","0","1","0","4.89784","8.375","0","3.48124"
"213","65","10","126.4","140","14","14","1","1","1","0","4.941642","8.75","0","4.174387"
"214","19.5","10","126.4","95","10","12","3","0","0","0","4.553877","5.9375","0","2.970414"
"215","17.5","10","126.4","126","13","13","2","0","0","0","4.836282","7.875","0","2.862201"
"216","27.5","10","126.4","134","12","15","1","0","1","0","4.89784","8.375","0","3.314186"
"217","12.5","10","126.4","64","6","7","1","1","1","0","4.158883","4","0","2.525729"
"218","27.5","10","126.4","119","","15","1","0","1","4","4.779123","7.4375",".2","3.314186"
"219","32.5","10","126.4","140","13","16","2","1","1","0","4.941642","8.75","0","3.48124"
"220","22.5","10","126.4","120","6","6","3","0","1","0","4.787492","7.5","0","3.113515"
"221","18.5","10","126.4","103","13","14","2","0","1","0","4.634729","6.4375","0","2.917771"
"222","32.5","10","126.4","68","12","12","2","1","1","20","4.219508","4.25","1","3.48124"
"223","42.5","10","126.4","97","14","12","1","0","0","0","4.574711","6.0625","0","3.749504"
"224","37.5","10","126.4","120","12","12","2","0","1","0","4.787492","7.5","0","3.624341"
"225","32.5","10","126.4","121","15","14","1","0","1","0","4.795791","7.5625","0","3.48124"
"226","9.5","10","126.4","130","","8","2","1","1","0","4.867535","8.125","0","2.251292"
"227","15.5","10","126.4","115","12","12","1","0","1","10","4.744932","7.1875",".5","2.74084"
"228","65","10","126.4","112","16","18","2","1","0","0","4.718499","7","0","4.174387"
"229","65","10","126.4","120","12","12","1","1","1","0","4.787492","7.5","0","4.174387"
"230","22.5","10","126.4","103","13","13","3","0","1","12","4.634729","6.4375",".6","3.113515"
"231","32.5","10","126.4","100","12","12","1","0","1","0","4.60517","6.25","0","3.48124"
"232","65","10","126.4","117","13","16","1","0","1","0","4.762174","7.3125","0","4.174387"
"233","65","10","126.4","126","18","18","1","0","1","0","4.836282","7.875","0","4.174387"
"234","5.5","10","126.4","142","","13","2","1","1","0","4.955827","8.875","0","1.704748"
"235","22.5","10","126.4","120","12","13","1","1","0","0","4.787492","7.5","0","3.113515"
"236","13.5","10","126.4","111","3","4","5","1","0","0","4.70953","6.9375","0","2.60269"
"237","65","10","126.4","152","12","12","2","1","1","0","5.02388","9.5","0","4.174387"
"238","65","10","126.4","124","18","17","1","0","1","0","4.820282","7.75","0","4.174387"
"239","27.5","10","126.4","146","13","12","2","1","1","0","4.983607","9.125","0","3.314186"
"240","27.5","10","126.4","102","15","16","1","1","1","0","4.624973","6.375","0","3.314186"
"241","27.5","10","126.4","129","12","6","2","1","1","0","4.859812","8.0625","0","3.314186"
"242","10.5","10","126.4","125","12","12","3","1","1","0","4.828314","7.8125","0","2.351375"
"243","9.5","10","126.4","126","16","14","3","0","0","0","4.836282","7.875","0","2.251292"
"244",".5","10","126.4","101","","3","1","0","1","0","4.61512","6.3125","0","-.6931472"
"245","32.5","10","126.4","113","16","12","2","1","1","0","4.727388","7.0625","0","3.48124"
"246","19.5","10","126.4","136","12","12","3","0","0","0","4.912655","8.5","0","2.970414"
"247","42.5","10","126.4","101","5","9","4","0","1","0","4.61512","6.3125","0","3.749504"
"248","65","10","126.4","106","18","18","1","1","1","0","4.663439","6.625","0","4.174387"
"249","65","10","126.4","100","16","18","2","0","1","0","4.60517","6.25","0","4.174387"
"250","42.5","10","126.4","130","15","14","1","0","1","0","4.867535","8.125","0","3.749504"
"251","37.5","10","126.4","136","17","12","3","0","0","0","4.912655","8.5","0","3.624341"
"252","6.5","10","126.4","100","","10","2","1","0","0","4.60517","6.25","0","1.871802"
"253","65","10","126.4","122","16","16","1","0","1","0","4.804021","7.625","0","4.174387"
"254","1.5","10","126.4","90","","11","1","0","0","0","4.49981","5.625","0",".4054651"
"255","65","20","130.8","94","13","12","1","0","1","0","4.543295","5.875","0","4.174387"
"256","32.5","20","130.8","108","9","13","1","1","1","0","4.682131","6.75","0","3.48124"
"257","65","20","130.8","107","18","18","2","1","1","0","4.672829","6.6875","0","4.174387"
"258","17.5","20","130.8","119","13","12","4","1","1","20","4.779123","7.4375","1","2.862201"
"259","18.5","20","130.8","106","12","12","1","0","1","0","4.663439","6.625","0","2.917771"
"260","13.5","20","130.8","113","12","12","2","1","1","0","4.727388","7.0625","0","2.60269"
"261","10.5","20","130.8","132","12","12","1","1","1","0","4.882802","8.25","0","2.351375"
"262","18.5","20","130.8","99","13","9","3","0","0","0","4.59512","6.1875","0","2.917771"
"263","13.5","20","130.8","110","11","11","3","0","1","10","4.70048","6.875",".5","2.60269"
"264","32.5","20","130.8","76","13","18","1","0","1","10","4.330733","4.75",".5","3.48124"
"265","15.5","20","130.8","123","13","12","1","1","1","0","4.812184","7.6875","0","2.74084"
"266","10.5","20","130.8","123","12","12","1","1","1","0","4.812184","7.6875","0","2.351375"
"267","32.5","20","130.8","129","15","12","1","1","1","0","4.859812","8.0625","0","3.48124"
"268","13.5","20","130.8","95","","11","3","1","0","0","4.553877","5.9375","0","2.60269"
"269","16.5","20","130.8","118","","13","2","1","1","0","4.770685","7.375","0","2.80336"
"270","6.5","20","130.8","115","12","12","3","0","0","20","4.744932","7.1875","1","1.871802"
"271","8.5","20","130.8","133","","11","1","1","1","0","4.890349","8.3125","0","2.140066"
"272","22.5","20","130.8","139","12","13","1","1","1","0","4.934474","8.6875","0","3.113515"
"273","27.5","20","130.8","124","16","18","2","1","1","0","4.820282","7.75","0","3.314186"
"274","12.5","26","142","60","","10","1","1","1","20","4.094345","3.75","1","2.525729"
"275","19.5","26","142","87","14","12","1","0","1","0","4.465908","5.4375","0","2.970414"
"276","65","26","142","130","18","16","1","1","1","0","4.867535","8.125","0","4.174387"
"277","65","26","142","110","13","16","1","1","1","0","4.70048","6.875","0","4.174387"
"278","15.5","26","142","73","15","12","1","0","0","0","4.29046","4.5625","0","2.74084"
"279","37.5","26","142","126","14","11","1","1","1","0","4.836282","7.875","0","3.624341"
"280","47.5","26","142","125","12","13","1","1","1","0","4.828314","7.8125","0","3.86073"
"281","47.5","26","142","166","10","13","2","0","1","0","5.111988","10.375","0","3.86073"
"282","37.5","26","142","122","13","13","1","0","1","0","4.804021","7.625","0","3.624341"
"283","32.5","26","142","120","12","12","2","1","0","4","4.787492","7.5",".2","3.48124"
"284","65","26","142","143","17","16","2","0","1","0","4.962845","8.9375","0","4.174387"
"285","27.5","26","142","122","14","12","2","1","1","0","4.804021","7.625","0","3.314186"
"286","65","26","142","106","18","16","2","1","1","0","4.663439","6.625","0","4.174387"
"287","65","26","142","126","18","18","2","0","1","0","4.836282","7.875","0","4.174387"
"288","32.5","26","142","156","16","14","1","0","1","0","5.049856","9.75","0","3.48124"
"289","22.5","26","142","129","","8","1","1","1","0","4.859812","8.0625","0","3.113515"
"290","17.5","26","142","120","8","6","3","0","0","0","4.787492","7.5","0","2.862201"
"291","32.5","14","124","113","12","12","1","1","1","1","4.727388","7.0625",".05","3.48124"
"292","65","14","124","81","17","15","2","0","1","0","4.394449","5.0625","0","4.174387"
"293","37.5","14","124","83","16","14","1","0","1","0","4.41884","5.1875","0","3.624341"
"294","37.5","17","135.9","129","","12","1","0","0","0","4.859812","8.0625","0","3.624341"
"295","14.5","17","135.9","133","12","12","2","1","0","0","4.890349","8.3125","0","2.674149"
"296","18.5","24","139.8","112","16","16","2","0","1","20","4.718499","7","1","2.917771"
"297","65","24","139.8","119","14","13","1","1","1","0","4.779123","7.4375","0","4.174387"
"298","47.5","24","139.8","139","16","12","1","0","1","0","4.934474","8.6875","0","3.86073"
"299","27.5","24","139.8","111","12","14","1","0","1","0","4.70953","6.9375","0","3.314186"
"300","27.5","24","139.8","81","13","12","4","0","1","40","4.394449","5.0625","2","3.314186"
"301","27.5","24","139.8","127","16","12","2","0","1","0","4.844187","7.9375","0","3.314186"
"302","22.5","24","139.8","119","10","11","1","0","1","0","4.779123","7.4375","0","3.113515"
"303","32.5","24","139.8","107","15","12","3","0","0","0","4.672829","6.6875","0","3.48124"
"304","3.5","24","139.8","98","","10","2","0","0","20","4.584968","6.125","1","1.252763"
"305","18.5","24","139.8","113","14","13","1","0","1","10","4.727388","7.0625",".5","2.917771"
"306","19.5","24","139.8","104","16","16","1","1","0","0","4.644391","6.5","0","2.970414"
"307","32.5","24","139.8","108","11","12","2","0","1","0","4.682131","6.75","0","3.48124"
"308","22.5","24","139.8","144","12","12","1","1","1","0","4.969813","9","0","3.113515"
"309","65","24","139.8","110","16","14","3","1","1","0","4.70048","6.875","0","4.174387"
"310","65","24","139.8","138","16","13","1","0","1","0","4.927254","8.625","0","4.174387"
"311","14.5","24","139.8","107","12","10","1","0","0","0","4.672829","6.6875","0","2.674149"
"312","65","24","139.8","128","13","13","1","0","1","0","4.85203","8","0","4.174387"
"313","14.5","24","139.8","144","14","12","1","1","1","10","4.969813","9",".5","2.674149"
"314","37.5","24","139.8","136","16","16","2","1","0","0","4.912655","8.5","0","3.624341"
"315","13.5","24","139.8","110","","14","1","1","1","0","4.70048","6.875","0","2.60269"
